AMPHCODE,Year,TaxonCode,Abun
ARR,1996,HN001A,6
ARR,1996,KR001A,1
ARR,1996,NA003A,2
ARR,1996,NA003B,2
ARR,1996,NA033A,2
ARR,1996,NA042A,2
ARR,1996,NA046A,1
ARR,1996,NI005A,8
ARR,1996,NI9999,2
ARR,1996,PE002A,12
ARR,1996,PI011A,6
ARR,1996,PI9999,1
ARR,1996,SP002A,2
ARR,1996,SY010A,2
ARR,1996,TA001A,44
ARR,1996,TA004A,2
ARR,1997,AC004A,13
ARR,1997,AC013A,125
ARR,1997,AC014C,2
ARR,1997,AC022A,6
ARR,1997,AC028A,7
ARR,1997,AC046A,1
ARR,1997,AC148A,14
ARR,1997,AM9999,2
ARR,1997,BR001A,76
ARR,1997,BR003A,1
ARR,1997,BR006A,37
ARR,1997,CM010A,9
ARR,1997,CM015A,1
ARR,1997,CM017A,4
ARR,1997,CM048A,8
ARR,1997,CM052A,1
ARR,1997,CM9999,3
ARR,1997,EU002A,12
ARR,1997,EU002E,6
ARR,1997,EU009A,5
ARR,1997,EU022A,3
ARR,1997,EU040A,1
ARR,1997,EU047A,66
ARR,1997,EU048A,4
ARR,1997,EU056A,2
ARR,1997,EU9961,3
ARR,1997,EU9999,11
ARR,1997,FR005A,1
ARR,1997,FR005D,3
ARR,1997,FR007A,26
ARR,1997,FU002B,21
ARR,1997,FU002F,3
ARR,1997,GO003A,1
ARR,1997,NA032A,2
ARR,1997,NA037A,5
ARR,1997,NA156A,2
ARR,1997,NA9999,2
ARR,1997,NI005A,8
ARR,1997,NI9999,1
ARR,1997,PE002A,12
ARR,1997,PI9999,3
ARR,1997,SY010A,2
ARR,1997,TA001A,70
ARR,1997,TA003B,1
ARR,1998,AC001A,1
ARR,1998,AC004A,6
ARR,1998,AC013A,133
ARR,1998,AC014C,1
ARR,1998,AC022A,10
ARR,1998,AC024A,1
ARR,1998,AC028A,5
ARR,1998,AC048A,2
ARR,1998,AC142A,1
ARR,1998,AC148A,13
ARR,1998,AC9999,1
ARR,1998,AM001B,1
ARR,1998,BR001A,52
ARR,1998,BR006A,20
ARR,1998,CM004A,2
ARR,1998,CM009A,1
ARR,1998,CM015A,1
ARR,1998,CM017A,1
ARR,1998,CM048A,10
ARR,1998,DE001A,3
ARR,1998,EU002A,3
ARR,1998,EU002B,2
ARR,1998,EU009A,6
ARR,1998,EU011A,1
ARR,1998,EU016A,1
ARR,1998,EU027A,1
ARR,1998,EU047A,19
ARR,1998,EU048A,13
ARR,1998,EU049A,4
ARR,1998,EU051A,1
ARR,1998,EU051B,1
ARR,1998,EU9999,4
ARR,1998,FR005D,13
ARR,1998,FR007A,20
ARR,1998,FU002A,1
ARR,1998,FU002B,15
ARR,1998,FU002F,1
ARR,1998,GO004A,4
ARR,1998,NA003B,2
ARR,1998,NA033A,4
ARR,1998,NA9999,3
ARR,1998,NI005A,5
ARR,1998,NI008A,4
ARR,1998,PE002A,33
ARR,1998,PI008A,1
ARR,1998,PI012A,1
ARR,1998,PI016A,6
ARR,1998,SA9999,1
ARR,1998,SY010A,7
ARR,1998,TA001A,59
ARR,1998,TA004A,1
ARR,1999,AC013A,79
ARR,1999,AC014C,2
ARR,1999,AC022A,1
ARR,1999,AC028A,5
ARR,1999,AC035A,2
ARR,1999,AC046A,2
ARR,1999,AC048A,2
ARR,1999,AC148A,1
ARR,1999,BR001A,60
ARR,1999,BR006A,25
ARR,1999,CM004A,4
ARR,1999,CM010A,1
ARR,1999,CM015A,1
ARR,1999,CM048A,9
ARR,1999,DT002B,7
ARR,1999,EU002E,5
ARR,1999,EU009A,8
ARR,1999,EU015A,4
ARR,1999,EU047A,30
ARR,1999,EU048A,2
ARR,1999,EU049A,13
ARR,1999,EU056A,5
ARR,1999,EU9999,22
ARR,1999,FR005D,36
ARR,1999,FR9999,6
ARR,1999,FU002B,40
ARR,1999,FU002F,1
ARR,1999,GO004A,4
ARR,1999,NA003B,4
ARR,1999,NA006A,2
ARR,1999,NA033A,7
ARR,1999,NA036A,1
ARR,1999,NA156A,6
ARR,1999,NA167A,1
ARR,1999,NI005A,4
ARR,1999,PE002A,32
ARR,1999,TA001A,85
ARR,2001,AC004A,4
ARR,2001,AC013A,176
ARR,2001,AC022A,4
ARR,2001,AC028A,8
ARR,2001,AC035A,15
ARR,2001,AC046A,1
ARR,2001,AC148A,8
ARR,2001,BR001A,68
ARR,2001,BR006A,22
ARR,2001,CM010A,17
ARR,2001,CM048A,11
ARR,2001,DT002B,2
ARR,2001,EU002B,7
ARR,2001,EU009A,3
ARR,2001,EU011A,3
ARR,2001,EU040A,1
ARR,2001,EU047A,36
ARR,2001,EU048A,5
ARR,2001,EU049A,3
ARR,2001,EU051A,5
ARR,2001,EU051B,6
ARR,2001,EU056A,5
ARR,2001,EU9999,10
ARR,2001,FR005D,3
ARR,2001,FR007A,15
ARR,2001,FU002B,16
ARR,2001,FU002F,6
ARR,2001,GO003A,1
ARR,2001,NA002A,1
ARR,2001,NA003B,3
ARR,2001,NA006A,1
ARR,2001,NA032A,3
ARR,2001,NA037A,3
ARR,2001,NA156A,3
ARR,2001,NA158A,2
ARR,2001,NI005A,7
ARR,2001,NI017A,1
ARR,2001,PE002A,14
ARR,2001,PI018A,1
ARR,2001,PI022B,1
ARR,2001,PI9999,2
ARR,2001,SU006A,2
ARR,2001,SY010A,2
ARR,2001,TA001A,53
ARR,2002,AC004A,2
ARR,2002,AC013A,115
ARR,2002,AC014C,1
ARR,2002,AC022A,4
ARR,2002,AC028A,5
ARR,2002,AC035A,18
ARR,2002,AC042A,6
ARR,2002,AC044A,3
ARR,2002,AC046A,4
ARR,2002,AC148A,1
ARR,2002,BR001A,24
ARR,2002,BR006A,27
ARR,2002,CM004A,1
ARR,2002,CM010A,2
ARR,2002,CM015A,2
ARR,2002,CM017A,1
ARR,2002,CM048A,11
ARR,2002,CM9999,1
ARR,2002,CY006A,1
ARR,2002,CY006D,6
ARR,2002,EU002B,3
ARR,2002,EU002E,1
ARR,2002,EU004A,2
ARR,2002,EU009A,3
ARR,2002,EU011A,1
ARR,2002,EU015A,1
ARR,2002,EU017A,2
ARR,2002,EU019A,3
ARR,2002,EU020A,2
ARR,2002,EU032A,2
ARR,2002,EU040A,3
ARR,2002,EU047A,26
ARR,2002,EU048A,2
ARR,2002,EU049A,2
ARR,2002,EU051B,18
ARR,2002,EU056A,1
ARR,2002,EU057A,3
ARR,2002,EU9999,13
ARR,2002,FR005D,10
ARR,2002,FR007A,7
ARR,2002,FR009A,1
ARR,2002,FU002B,30
ARR,2002,GO003A,1
ARR,2002,NA003B,1
ARR,2002,NA006A,1
ARR,2002,NA032A,2
ARR,2002,NA033A,4
ARR,2002,NA037A,5
ARR,2002,NA039A,2
ARR,2002,NA156A,7
ARR,2002,NI005A,7
ARR,2002,NI017A,1
ARR,2002,PE002A,29
ARR,2002,PI018A,2
ARR,2002,PI023A,2
ARR,2002,SY010A,1
ARR,2002,TA001A,71
ARR,2002,TA004A,2
BLU,1992,BR003A,1
BLU,1992,BR006A,7
BLU,1992,CM010A,3
BLU,1992,EU002B,1
BLU,1992,EU002C,4
BLU,1992,EU007A,1
BLU,1992,EU008A,1
BLU,1992,EU011A,4
BLU,1992,EU015A,4
BLU,1992,EU040A,1
BLU,1992,EU045A,4
BLU,1992,EU047A,9
BLU,1992,EU048A,10
BLU,1992,EU056A,1
BLU,1992,EU9999,1
BLU,1992,FU002B,30
BLU,1992,FU002F,1
BLU,1992,ME019A,33
BLU,1992,NA158A,4
BLU,1992,NA167A,21
BLU,1992,NE020A,1
BLU,1992,PE002A,1
BLU,1992,PI011A,1
BLU,1992,PI015A,4
BLU,1992,PI018A,16
BLU,1992,PI023A,1
BLU,1992,PI9999,1
BLU,1992,SE001A,16
BLU,1992,TA003A,12
BLU,1992,TA004A,265
BLU,1992,TA005A,1
BLU,1993,BR003A,1
BLU,1993,BR006A,8
BLU,1993,CM010A,6
BLU,1993,EU007A,1
BLU,1993,EU009A,2
BLU,1993,EU011A,7
BLU,1993,EU015A,6
BLU,1993,EU015B,6
BLU,1993,EU040A,1
BLU,1993,EU045A,2
BLU,1993,EU047A,16
BLU,1993,EU048A,15
BLU,1993,EU051A,1
BLU,1993,EU9999,4
