"","res.TP","res.ANC","res.TPANC","res.anova"
"EP007A",0.181818181818182,0.0606060606060606,0.171717171717172,9.85670443126736e-05
"EU002A",0.272727272727273,0.0606060606060606,0.0101010101010101,0.707736103268811
"EU002B",0.0101010101010101,0.0101010101010101,0.0101010101010101,2.36922081862277e-15
"EU002K",0.747474747474748,0.0707070707070707,0.0404040404040404,0.253342671235362
"EU003A",0.242424242424242,0.666666666666667,0.919191919191919,0.000199423231608388
"EU004A",0.121212121212121,0.0303030303030303,0.0303030303030303,0.0772212553581379
"EU008A",0.111111111111111,0.0404040404040404,0.0404040404040404,0.000913042419692571
"EU009A",0.0101010101010101,0.0101010101010101,0.0101010101010101,0.000156541551099478
"EU011A",0.0101010101010101,0.0101010101010101,0.0101010101010101,NA
"EU047A",0.0101010101010101,0.0101010101010101,0.0101010101010101,3.40404329328724e-12
"EU048A",0.0101010101010101,0.0101010101010101,0.0101010101010101,0.000514375672631729
"EU049A",0.0303030303030303,0.0101010101010101,0.0101010101010101,0.313635151095704
"FR001A",0.0606060606060606,0.0808080808080808,0.0909090909090909,0.276645798625393
"FR002A",0.434343434343434,0.525252525252525,0.474747474747475,0.180075156969533
"FR002B",0.0202020202020202,0.575757575757576,0.939393939393939,0.00177645363065428
"FR002C",0.595959595959596,0.595959595959596,0.484848484848485,0.328686870341845
"FR003A",0.646464646464647,0.0303030303030303,0.0505050505050505,0.000734829572895922
"FR005A",0.0101010101010101,0.0101010101010101,0.0101010101010101,0.254873295841503
"FR005D",0.0202020202020202,0.0101010101010101,0.0101010101010101,0.541722016368959
"FR006A",0.666666666666667,0.0606060606060606,0.0303030303030303,0.717639129425437
"FR008A",0.0101010101010101,0.0202020202020202,0.484848484848485,7.21762650236501e-05
"FR009A",0.0101010101010101,0.0101010101010101,0.0303030303030303,0.035903368336306
"FR009B",0.454545454545455,0.484848484848485,0.434343434343434,0.00294993110176995
"FR011A",0.383838383838384,0.858585858585859,0.898989898989899,2.91996153950546e-07
"FR014A",0.202020202020202,0.282828282828283,0.525252525252525,5.7300989559131e-05
"FR018A",0.0505050505050505,0.0707070707070707,0.393939393939394,0.0172567983584597
"FR019A",0.0909090909090909,0.0303030303030303,0.0202020202020202,0.538078323340522
"FU002A",0.0101010101010101,0.0101010101010101,0.0101010101010101,0.000163267853301233
"GO001A",0.181818181818182,0.303030303030303,0.383838383838384,0.0784234560511825
"GO003A",0.111111111111111,0.121212121212121,0.727272727272727,0.000749723161805221
"GO003B",0.161616161616162,0.757575757575758,0.848484848484849,3.98383406533427e-11
"GO004A",0.292929292929293,0.131313131313131,0.151515151515152,0.270238699799885
"GO006A",0.373737373737374,0.0909090909090909,0.0202020202020202,0.936029324797095
"GO010A",0.424242424242424,0.353535353535354,0.96969696969697,0.00564570865610171
"GO013A",0.717171717171717,0.434343434343434,0.717171717171717,0.125145724243886
"GO014A",0.101010101010101,0.848484848484849,0.97979797979798,0.0780702637976106
"GO014B",0.0505050505050505,0.0303030303030303,0.0606060606060606,0.0393375519013429
"GO029A",0.202020202020202,0.636363636363636,0.626262626262626,0.000117150960492526
"GO050A",0.575757575757576,0.666666666666667,0.909090909090909,0.0275055035328238
"GO9999",0.0101010101010101,0.0303030303030303,0.121212121212121,0.0432955995856412
"GY001A",0.777777777777778,0.0303030303030303,0.0303030303030303,0.378127840809929
"GY005A",0.909090909090909,0.343434343434343,0.262626262626263,0.283430600768586
"ME015A",0.121212121212121,0.313131313131313,0.666666666666667,0.0078758200209519
